"BodyPart","adj","totalM","pctM","totalF","pctF","diff","total"
"ankle","own",4,1.98993094939606e-05,4,2.98242605447401e-05,-1.49875856515482,8
"ankle","painful",2,9.94965474698028e-06,0,0,Inf,2
"ankle","pale",1,4.97482737349014e-06,2,1.49121302723701e-05,-2.99751713030965,3
"ankle","particularly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","partly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","patrol",1,4.97482737349014e-06,0,0,Inf,1
"ankle","perfect",1,4.97482737349014e-06,0,0,Inf,1
"ankle","perpendicularly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","pimple",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","pinion",1,4.97482737349014e-06,0,0,Inf,1
"ankle","pliant",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","plump",0,0,3,2.23681954085551e-05,-Inf,3
"ankle","poor",1,4.97482737349014e-06,0,0,Inf,1
"ankle","powder",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","pretty",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","prior",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","probably",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","properly",1,4.97482737349014e-06,0,0,Inf,1
"ankle","prophetically",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","puffy",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","quickly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","quite",1,4.97482737349014e-06,1,7.45606513618503e-06,-1.49875856515482,2
"ankle","rapidly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","raw",1,4.97482737349014e-06,2,1.49121302723701e-05,-2.99751713030965,3
"ankle","really",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","rear",1,4.97482737349014e-06,0,0,Inf,1
"ankle","recently",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","red",5,2.48741368674507e-05,0,0,Inf,5
"ankle","right",25,0.000124370684337254,17,0.000126753107315145,-1.01915582430528,42
"ankle","rustic",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","scrape",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","secure",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","see",1,4.97482737349014e-06,0,0,Inf,1
"ankle","send",1,4.97482737349014e-06,0,0,Inf,1
"ankle","separate",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","seriously",1,4.97482737349014e-06,0,0,Inf,1
"ankle","severely",1,4.97482737349014e-06,0,0,Inf,1
"ankle","shapeless",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","silver",1,4.97482737349014e-06,0,0,Inf,1
"ankle","skinny",0,0,4,2.98242605447401e-05,-Inf,4
"ankle","slender",0,0,2,1.49121302723701e-05,-Inf,2
"ankle","slick",1,4.97482737349014e-06,0,0,Inf,1
"ankle","slightly",0,0,1,7.45606513618503e-06,-Inf,1
"ankle","slim",2,9.94965474698028e-06,7,5.21924559532952e-05,-5.24565497804189,9
"ankle","slowly",2,9.94965474698028e-06,0,0,Inf,2
"ankle","small",0,0,2,1.49121302723701e-05,-Inf,2
