BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
foot,little,35,0.000174119,69,0.000514468,-2.954695457,104
foot,long,28,0.000139295,25,0.000186402,-1.33817729,53
foot,naked,20,9.95E-05,29,0.000216226,-2.173199919,49
foot,numb,24,0.000119396,9,6.71E-05,1.779250327,33
foot,other,28,0.000139295,9,6.71E-05,2.075792048,37
foot,own,161,0.000800947,91,0.000678502,1.180464159,252
foot,right,205,0.00101984,97,0.000723238,1.410101741,302
foot,slippered,20,9.95E-05,13,9.69E-05,1.026490573,33
foot,slowly,31,0.00015422,16,0.000119297,1.292736565,47
foot,small,32,0.000159194,50,0.000372803,-2.341810258,82
foot,sore,28,0.000139295,7,5.22E-05,2.66887549,35
foot,still,63,0.000313414,30,0.000223682,1.401159632,93
foot,stock,51,0.000253716,34,0.000253506,1.000828309,85
foot,stockinged,37,0.000184069,34,0.000253506,-1.3772376,71
foot,suddenly,22,0.000109446,12,8.95E-05,1.2232346,34
foot,swell,23,0.000114421,32,0.000238594,-2.085229308,55
foot,tiny,15,7.46E-05,34,0.000253506,-3.397186081,49
foot,together,37,0.000184069,20,0.000149121,1.234354914,57
foot,up,24,0.000119396,18,0.000134209,-1.124068924,42
foot,very,31,0.00015422,14,0.000104385,1.477413218,45
foot,wet,20,9.95E-05,29,0.000216226,-2.173199919,49
foot,white,24,0.000119396,24,0.000178946,-1.498758565,48
foot,wide,23,0.000114421,11,8.20E-05,1.395094006,34
hair,back,437,0.002174,930,0.006934141,-3.189577724,1367
hair,beautiful,11,5.47E-05,58,0.000432452,-7.902545162,69
hair,black,494,0.002457565,480,0.003578911,-1.456283626,974
hair,blond,211,0.001049689,367,0.002736376,-2.606845466,578
hair,blonde,6,2.98E-05,100,0.000745607,-24.97930942,106
hair,blue,17,8.46E-05,22,0.000164033,-1.939569908,39
hair,bright,26,0.000129346,65,0.000484644,-3.746896413,91
hair,brown,196,0.000975066,264,0.001968401,-2.018736027,460
hair,carefully,30,0.000149245,37,0.000275874,-1.848468897,67
hair,close,55,0.000273616,17,0.000126753,2.158649293,72
hair,color,24,0.000119396,35,0.000260962,-2.185689574,59
hair,comb,32,0.000159194,6,4.47E-05,3.558500653,38
hair,crop,53,0.000263666,36,0.000268418,-1.018024686,89
hair,curl,21,0.000104471,19,0.000141665,-1.356019654,40
hair,curly,130,0.000646728,72,0.000536837,1.204700742,202
hair,cut,17,8.46E-05,20,0.000149121,-1.763245371,37
hair,damp,38,0.000189043,36,0.000268418,-1.419876535,74
hair,dark,321,0.00159692,542,0.004041187,-2.530614151,863
hair,dirty,18,8.95E-05,19,0.000141665,-1.58202293,37
