BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
hair,straight,62,0.001488738,59,0.002473587,-1.661532407,121
heart,still,77,0.001848917,43,0.001802784,1.025589995,120
arm,still,84,0.002017,35,0.001467382,1.37455698,119
hand,open,88,0.002113048,31,0.001299681,1.625820084,119
eye,beautiful,39,0.000936464,76,0.003186316,-3.402494872,115
leg,bare,43,0.001032512,72,0.003018615,-2.923563525,115
body,still,70,0.001680834,43,0.001802784,-1.072553365,113
skin,white,39,0.000936464,73,0.00306054,-3.268185864,112
eye,round,67,0.001608798,44,0.001844709,-1.146638099,111
eye,hard,71,0.001704846,39,0.001635083,1.042666085,110
hand,lightly,56,0.001344667,54,0.002263961,-1.683659352,110
mouth,full,79,0.001896941,31,0.001299681,1.45954303,110
arm,other,73,0.001752869,36,0.001509307,1.161373375,109
face,right,77,0.001848917,32,0.001341607,1.378136556,109
mouth,own,80,0.001920953,28,0.001173906,1.636377357,108
face,beautiful,28,0.000672333,79,0.003312091,-4.926262548,107
head,far,77,0.001848917,30,0.001257756,1.470012326,107
head,very,74,0.001776881,33,0.001383532,1.28430829,107
face,old,63,0.00151275,43,0.001802784,-1.191725961,106
head,forth,70,0.001680834,36,0.001509307,1.113645702,106
hair,fair,50,0.001200595,55,0.002305886,-1.920618816,105
hair,wet,46,0.001104548,59,0.002473587,-2.239456722,105
eye,wet,57,0.001368679,47,0.001970485,-1.439698315,104
face,whole,63,0.00151275,41,0.001718933,-1.136296846,104
leg,back,81,0.001944965,23,0.00096428,2.01701296,104
shoulder,broad,89,0.00213706,15,0.000628878,3.398210312,104
eye,sad,73,0.001752869,30,0.001257756,1.393648049,103
eye,sharp,68,0.00163281,35,0.001467382,1.112736603,103
hand,hard,76,0.001824905,27,0.001131981,1.61213473,103
head,big,94,0.00225712,9,0.000377327,5.98186834,103
head,sideways,76,0.001824905,27,0.001131981,1.61213473,103
face,full,65,0.001560774,37,0.001551233,1.006150943,102
hand,strong,71,0.001704846,31,0.001299681,1.311741204,102
eye,cold,68,0.00163281,33,0.001383532,1.180175185,101
eye,straight,67,0.001608798,34,0.001425457,1.128619089,101
skin,own,77,0.001848917,24,0.001006205,1.837515408,101
eye,tire,66,0.001584786,34,0.001425457,1.111774028,100
eye,long,67,0.001608798,31,0.001299681,1.237840291,98
face,smooth,53,0.001272631,45,0.001886634,-1.482467354,98
head,little,51,0.001224607,47,0.001970485,-1.609074587,98
mouth,slightly,55,0.001320655,43,0.001802784,-1.365067919,98
eye,finally,73,0.001752869,24,0.001006205,1.742060062,97
arm,good,82,0.001968977,13,0.000545028,3.612617705,95
hair,golden,24,0.000576286,71,0.00297669,-5.165300604,95
lip,slightly,42,0.0010085,53,0.002222036,-2.2033073,95
hand,only,62,0.001488738,32,0.001341607,1.109668396,94
lip,red,28,0.000672333,66,0.002767064,-4.115611749,94
