BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
hair,bright,19,0.0008802,45,0.00210192,-2.388002095,64
lip,slightly,28,0.001297137,36,0.001681536,-1.296343994,64
arm,thin,20,0.000926526,43,0.002008501,-2.167775235,63
eye,long,38,0.0017604,25,0.001167733,1.507536366,63
face,pretty,4,0.000185305,59,0.00275585,-14.87194638,63
foot,back,28,0.001297137,35,0.001634826,-1.260334439,63
hand,very,41,0.001899379,22,0.001027605,1.848354994,63
lip,thin,34,0.001575095,29,0.001354571,1.162800282,63
skin,smooth,24,0.001111832,39,0.001821664,-1.63843477,63
shoulder,leave,33,0.001528769,29,0.001354571,1.128600274,62
heart,still,30,0.00138979,31,0.001447989,-1.041876469,61
face,blank,32,0.001482442,28,0.001307861,1.13348599,60
finger,middle,30,0.00138979,30,0.00140128,-1.008267551,60
leg,short,41,0.001899379,19,0.000887477,2.14020052,60
eye,tight,30,0.00138979,29,0.001354571,1.026000249,59
hair,yellow,22,0.001019179,37,0.001728245,-1.695722699,59
lip,red,20,0.000926526,39,0.001821664,-1.966121725,59
eye,quickly,20,0.000926526,38,0.001774954,-1.915708347,58
eye,soft,33,0.001528769,25,0.001167733,1.309176318,58
hand,thin,19,0.0008802,39,0.001821664,-2.069601815,58
head,very,28,0.001297137,30,0.00140128,-1.080286662,58
lip,tight,19,0.0008802,39,0.001821664,-2.069601815,58
arm,tightly,25,0.001158158,32,0.001494698,-1.290582465,57
body,long,29,0.001343463,28,0.001307861,1.027221678,57
face,bright,27,0.001250811,30,0.00140128,-1.120297279,57
hair,fair,28,0.001297137,29,0.001354571,-1.044277106,57
hand,firmly,28,0.001297137,29,0.001354571,-1.044277106,57
head,little,24,0.001111832,33,0.001541408,-1.386367883,57
shoulder,right,41,0.001899379,16,0.000747349,2.541488117,57
eye,beautiful,21,0.000972853,35,0.001634826,-1.680445918,56
face,soft,18,0.000833874,38,0.001774954,-2.12856483,56
head,low,32,0.001482442,24,0.001121024,1.322400321,56
shoulder,bare,13,0.000602242,43,0.002008501,-3.335038823,56
arm,strong,39,0.001806727,16,0.000747349,2.417513087,55
arm,tight,24,0.001111832,31,0.001447989,-1.302345587,55
body,upper,42,0.001945706,13,0.000607221,3.204277701,55
eye,light,34,0.001575095,21,0.000980896,1.605771819,55
face,right,35,0.001621421,20,0.000934187,1.735650422,55
head,hard,23,0.001065505,32,0.001494698,-1.402807028,55
face,serious,30,0.00138979,24,0.001121024,1.239750301,54
face,smooth,21,0.000972853,33,0.001541408,-1.584420437,54
eye,narrow,30,0.00138979,23,0.001074315,1.293652488,53
